Reviews,Sentiments
"bittersweet comedy/drama full of life , hand gestures , and some really adorable italian guys . ",pos
"you have to pay attention to follow all the stories , but they're each interesting . the movie is well shot and very tragic , and one to ponder after the credits roll . ",pos
"overall , interesting as a documentary -- but not very imaxy . ",pos
"precocious smarter-than-thou wayward teen struggles to rebel against his oppressive , right-wing , propriety-obsessed family . anyone else seen this before ? ",pos
"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year . ",pos
such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema . ,neg
"i won't argue with anyone who calls 'slackers' dumb , insulting , or childish . . . but i laughed so much that i didn't mind . ",pos
here's a self-congratulatory 3d imax rah-rah . ,neg
"rumor , a muddled drama about coming to terms with death , feels impersonal , almost generic . ",neg
"the story is so light and sugary that were it a macy's thanksgiving day parade balloon , extra heavy-duty ropes would be needed to keep it from floating away . ",neg
"the film's final hour , where nearly all the previous unseen material resides , is unconvincing soap opera that tornatore was right to cut . ",neg
cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle . ,neg
"like shrek , spirit's visual imagination reminds you of why animation is such a perfect medium for children , because of the way it allows the mind to enter and accept another world . ",pos
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker's motherland . ",pos
"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer's star trek vi : the undiscovered country . ",pos
"it's mildly interesting to ponder the peculiar american style of justice that plays out here , but it's so muddled and derivative that few will bother thinking it all through . ",neg
"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms . mirren , who did ) , has succeeded beyond all expectation . ",pos
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . ",pos
i hated every minute of it . ,neg
"successfully blended satire , high camp and yet another sexual taboo into a really funny movie . ",pos
pretend like your sat scores are below 120 and you might not notice the flaws . ,neg
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best . ",pos
"s1m0ne's satire is not subtle , but it is effective . it's a quirky , off-beat project . . . . ",pos
hugh grant's act is so consuming that sometimes it's difficult to tell who the other actors in the movie are . ,neg
"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all . ",neg
a forceful drama of an alienated executive who re-invents himself . ,pos
don't wait to see this terrific film with your kids -- if you don't have kids borrow some . ,pos
travels a fascinating arc from hope and euphoria to reality and disillusionment . ,pos
"with or without ballast tanks , k-19 sinks to a harrison ford low . ",neg
"the vampire thriller blade ii starts off as a wild hoot and then sucks the blood out of its fun  toward the end , you can feel your veins cringing from the workout . ",neg
aimed squarely at the least demanding of demographic groups : very small children who will be delighted simply to spend more time with familiar cartoon characters . ,neg
it appears as if even the filmmakers didn't know what kind of movie they were making . ,neg
" . . . bright , intelligent , and humanly funny film . ",pos
"for a good chunk of its running time , trapped is an effective and claustrophobic thriller . ",pos
"the biggest problem with satin rouge is lilia herself . she's a cipher , played by an actress who smiles and frowns but doesn't reveal an inner life . ",neg
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it . ,pos
"matthew mcconaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy . ",neg
"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad . ",pos
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults . ",pos
"nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release . ",neg
the very simple story seems too simple and the working out of the plot almost arbitrary . ,neg
there's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance . ,pos
"we are left with a superficial snapshot that , however engaging , is insufficiently enlightening and inviting . ",neg
son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness . ,pos
"once again , director jackson strikes a rewarding balance between emotion on the human scale and action/effects on the spectacular scale . ",pos
"to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there's no indication that he's been responsible for putting together any movies of particular value or merit . ",neg
"it sounds like another clever if pointless excursion into the abyss , and that's more or less how it plays out . ",neg
"technically , the film is about as interesting as an insurance commercial . ",neg
"the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it's that life stinks , especially for sensitive married women who really love other women . ",neg
"a blair witch- style adventure that plays like a bad soap opera , with passable performances from everyone in the cast . ",neg
"suffers from rambling , repetitive dialogue and the visual drabness endemic to digital video . ",neg
an instantly forgettable snow-and-stuntwork extravaganza that likely will be upstaged by an avalanche of more appealing holiday-season product . ,neg
easily one of the best and most exciting movies of the year . ,pos
an impressive if flawed effort that indicates real talent . ,pos
it works its magic with such exuberance and passion that the film's length becomes a part of its fun . ,pos
"ice age won't drop your jaw , but it will warm your heart , and i'm giving it a strong thumbs up . ",pos
"the movie , while beautiful , feels labored , with a hint of the writing exercise about it . ",neg
the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life . ,neg
the film's tone and pacing are off almost from the get-go . ,neg
"with "" ichi the killer "" , takashi miike , japan's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman . . . ",pos
"offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be cruelly tormented . ",neg
fairly run-of-the-mill . ,neg
 . . . understands that a generation defines its music as much as the music defines a generation . ,pos
"at least it's a fairly impressive debut from the director , charles stone iii . ",neg
the movie is virtually without context -- journalistic or historical . what's worse is that pelosi knows it . ,neg
an edifying glimpse into the wit and revolutionary spirit of these performers and their era . ,pos
"i prefer soderbergh's concentration on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies . ",pos
"this 72-minute film does have some exciting scenes , but it's a tad slow . ",neg
late marriage is an in-your-face family drama and black comedy that is filled with raw emotions conveying despair and love . ,pos
"ultimately , clarity matters , both in breaking codes and making movies . enigma lacks it . ",neg
"with few respites , marshall keeps the energy humming , and his edits , unlike those in moulin rouge , are crisp and purposeful without overdoing it . ",pos
"one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense . ",pos
the most consistently funny of the austin powers films . ,pos
"the film doesn't really care about the thousands of americans who die hideously , it cares about how ryan meets his future wife and makes his start at the cia . ",neg
arnold's jump from little screen to big will leave frowns on more than a few faces . ,neg
"it's not a film to be taken literally on any level , but its focus always appears questionable . ",neg
a yarn that respects the marvel version without becoming ensnared by it . ,pos
"nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives hollywood . ",pos
oddly compelling . ,pos
 . . . in the pile of useless actioners from mtv schmucks who don't know how to tell a story for more than four minutes . ,neg
too slick and manufactured to claim street credibility . ,neg
"it's dumb , but more importantly , it's just not scary . ",neg
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning . ,neg
"a compelling pre-wwii drama with vivid characters and a warm , moving message . ",pos
"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity . ",pos
"the script is a tired one , with few moments of joy rising above the stale material . ",neg
"it is amusing , and that's all it needs to be . ",pos
" . . . an unimaginative , nasty , glibly cynical piece of work . ",neg
"one big blustery movie where nothing really happens . when it comes out on video , then it's the perfect cure for insomnia . ",neg
"everything about girls can't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",neg
a portrait of an artist . ,pos
"few of the increasingly far-fetched events that first-time writer-director neil burger follows up with are terribly convincing , which is a pity , considering barry's terrific performance . ",neg
for all its serious sense of purpose . . . [it] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor . ,pos
a sly dissection of the inanities of the contemporary music business and a rather sad story of the difficulties of artistic collaboration . ,pos
